no_ste;no_unit_cond;cd_emp;no_int_clg;dte_hre_crea;dte_hre_modif;aut_modif;typ_unit;qte;cd_lot;no_ext_unit_cond;cd_art;ind_pr_art;des_art_a;nrm_art_a;nrm_art_b;cd_art;des_art_a;ind_pr_art;cd_serie;dte_hre_crea;dte_hre_modif;dte_hre_entree;cpt_bnliv;cpt_bn_liv;no_ligne
1;2169447;ACF;;01/02/2022 09:36;01/02/2022 09:36;CFO;C;8;OF34627;2169447;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186581;01/02/2022 08:41;01/02/2022 08:41;01/02/2022 09:36;;;104
1;2169445;ACF;;01/02/2022 08:36;01/02/2022 08:36;CFO;C;8;OF34627;2169445;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186577;01/02/2022 08:36;01/02/2022 08:36;01/02/2022 08:36;;;104
1;2169445;ACF;;01/02/2022 08:36;01/02/2022 08:36;CFO;C;8;OF34627;2169445;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186576;01/02/2022 08:36;01/02/2022 08:36;01/02/2022 08:36;;;104
1;2169445;ACF;;01/02/2022 08:36;01/02/2022 08:36;CFO;C;8;OF34627;2169445;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186578;01/02/2022 08:36;01/02/2022 08:36;01/02/2022 08:36;;;104
1;2169446;ZF;;01/02/2022 08:49;01/02/2022 08:49;CFO;C;8;OF34619;2169446;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651072;01/02/2022 08:31;01/02/2022 08:31;01/02/2022 08:49;;;101
1;2169446;ZF;;01/02/2022 08:49;01/02/2022 08:49;CFO;C;8;OF34619;2169446;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651073;01/02/2022 08:34;01/02/2022 08:34;01/02/2022 08:49;;;101
1;2169445;ACF;;01/02/2022 08:36;01/02/2022 08:36;CFO;C;8;OF34627;2169445;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186575;01/02/2022 08:30;01/02/2022 08:30;01/02/2022 08:36;;;104
1;2169446;ZF;;01/02/2022 08:49;01/02/2022 08:49;CFO;C;8;OF34619;2169446;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651071;01/02/2022 08:30;01/02/2022 08:30;01/02/2022 08:49;;;101
1;2169445;ACF;;01/02/2022 08:36;01/02/2022 08:36;CFO;C;8;OF34627;2169445;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186568;01/02/2022 08:28;01/02/2022 08:28;01/02/2022 08:36;;;104
1;2169445;ACF;;01/02/2022 08:36;01/02/2022 08:36;CFO;C;8;OF34627;2169445;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186567;01/02/2022 08:28;01/02/2022 08:28;01/02/2022 08:36;;;104
